credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score
1,1941.636994,4482.140587,42314.88964,4,561
0,5359.893691,703.1959293,70319.59293,4,662
3,3019.331422,8240.850508,48556.09662,6,570
3,3080.956858,7844.494229,43869.56169,4,610
0,3541.077799,689.3106098,68931.06098,6,628
1,4384.323572,4637.826012,66410.91554,6,615
0,5452.437511,860.8493078,86084.93078,6,671
1,3509.695954,7009.507898,68250.64883,5,726
2,3518.114876,9828.221984,67312.54335,5,643
4,3519.052842,13950.50719,65971.38016,6,709
3,4449.96214,10433.12752,53273.79013,2,610
0,5848.560949,1425.990898,79174.52652,3,654
0,4868.117604,4854.936364,66648.88482,4,679
0,3681.900747,1400.556675,68160.94081,8,690
5,5118.924546,32914.55355,102522.6117,5,558
2,6543.479432,14921.97177,90739.89629,2,612
4,3681.961261,12698.894,61495.72868,5,630
0,2868.8141,3721.045706,53912.14422,5,614
0,4615.860732,3903.577979,80409.15907,4,684
1,4018.074746,5967.563042,61029.69369,5,683
0,4180.075427,5422.842875,63086.00451,3,650
2,5398.953681,16308.33005,88723.91288,3,616
1,2354.767751,5679.620407,67053.30205,6,729
5,3715.615067,21166.18758,74245.97957,6,521
5,5161.165527,20168.01471,73029.07485,2,636
5,3027.515204,15024.92394,55321.09302,3,656
0,3745.443206,3050.693343,59637.62973,5,633
0,3433.700574,3871.293464,56256.7593,3,612
1,3324.328211,10836.48245,82044.31304,6,663
5,3086.186142,17855.07188,54137.02325,5,654
5,5129.105334,18364.6733,67340.38896,3,573
1,3067.12104,5794.721374,67229.75904,6,619
3,4922.21773,18819.00315,86808.69605,4,567
3,3121.760462,10999.78022,54878.71322,5,591
5,3343.699605,18633.97338,55782.01161,3,481
0,2862.559188,4292.081703,54607.81635,5,650
4,3195.493489,10320.39878,47675.73526,5,685
3,1135.931819,4301.981196,22350.15771,5,719
2,2037.196785,10067.09728,69296.12264,7,774
5,5060.519731,19332.98036,67919.31128,2,519
0,4086.919816,6117.826991,68257.75631,3,564
0,3062.964065,3453.670926,91550.24254,4,657
5,5122.908631,20777.11341,76232.83668,3,599
0,4110.193577,2878.810496,62740.67121,4,701
4,6734.984475,26384.58439,97668.03091,2,418
1,3380.622889,7034.438654,75614.94765,5,688
5,6867.810491,25830.03238,94237.5182,3,706
0,6146.982896,5227.81494,99595.49389,6,651
2,5182.578193,9441.613494,73563.55955,6,778
0,6863.007842,5147.907002,88837.6485,4,585
1,3143.155646,4389.173289,57664.37675,6,744
1,2336.711246,4100.750004,45959.47246,5,707
3,3997.475735,14337.05849,68888.12348,3,707
4,5743.390107,18948.49818,84223.80768,5,573
3,4102.923948,13529.8192,75361.72988,4,709
5,4278.415702,15889.75436,58272.12723,3,600
4,5971.632945,21113.24614,93407.14746,6,683
0,3483.990456,4646.041488,57176.5927,2,678
1,1968.24956,5640.975071,55836.52295,6,634
0,3804.922882,2506.255203,62445.3799,5,643
0,4064.552861,3960.553618,65348.4623,4,589
0,3563.564493,2637.63437,47965.77094,5,584
0,5164.704429,843.8066465,84380.66465,3,600
3,794.2919762,2834.520519,12648.49794,1,461
1,2800.316359,4540.64595,43040.16541,3,754
1,4066.61649,9928.539503,82726.57375,5,725
0,2469.499498,5558.876055,70867.00145,5,730
0,2472.004604,3843.860466,51984.56253,7,719
0,6903.79744,5804.638948,99344.78829,3,632
0,3219.442973,1432.502012,52268.27961,3,597
4,6094.902746,21092.0012,78867.10718,2,579
0,3369.767591,4318.352065,53874.56161,3,698
0,4237.871403,4098.605596,73291.1634,2,690
5,2758.106666,13210.4596,52803.52175,5,610
2,4459.144537,12193.76606,75825.28635,8,711
0,7179.330435,9808.671634,106704.3437,3,584
2,2872.866931,7579.233547,46396.87583,3,590
1,4281.64628,7378.509081,68063.92775,6,692
0,3041.010511,4345.61684,57723.91637,2,585
5,3389.461558,17235.51007,54989.22567,4,612
0,6799.7846,9091.731439,95096.37551,3,619
0,3165.883223,3475.241718,70373.98777,6,712
5,2510.481566,14042.38812,54161.14419,5,642
5,3048.093824,13816.484,45634.97628,4,564
