loan_amt_outstanding,income,years_employed,fico_score,loan_to_income,loan_per_year_employed,fico_income_interaction
1941.636994,42314.88964,4,561,0.045885432065943456,388.32739879999997,23738653.08804
5359.893691,70319.59293,4,662,0.07622191010490224,1071.9787382,46551570.519659996
3019.331422,48556.09662,6,570,0.06218233408601818,431.33306028571434,27676975.0734
3080.956858,43869.56169,4,610,0.0702299439347275,616.1913716,26760432.630900003
3541.077799,68931.06098,6,628,0.05137129399438745,505.868257,43288706.295439996
4384.323572,66410.91554,6,615,0.06601811669488666,626.3319388571429,40842713.0571
5452.437511,86084.93078,6,671,0.06333788575460435,778.9196444285715,57762988.55338
3509.695954,68250.64883,5,726,0.05142362767408399,584.9493256666666,49549971.05058
3518.114876,67312.54335,5,643,0.05226536839731127,586.3524793333333,43281965.374050006
3519.052842,65971.38016,6,709,0.053342113404508444,502.7218345714286,46773708.53344
4449.96214,53273.79013,2,610,0.08353004599555548,1483.3207133333333,32497011.9793
5848.560949,79174.52652,3,654,0.07386922544397846,1462.14023725,51780140.34408
4868.117604,66648.88482,4,679,0.07304124618250378,973.6235208,45254592.792780004
3681.900747,68160.94081,8,690,0.05401775126915216,409.10008300000004,47031049.1589
5118.924546,102522.6117,5,558,0.04992971268551941,853.154091,57207617.3286
6543.479432,90739.89629,2,612,0.07211248524039819,2181.1598106666665,55532816.52948
3681.961261,61495.72868,5,630,0.05987344714784387,613.6602101666666,38742309.0684
2868.8141,53912.14422,5,614,0.05321276201220971,478.13568333333336,33102056.55108
4615.860732,80409.15907,4,684,0.0574046636643006,923.1721464,54999864.80388
4018.074746,61029.69369,5,683,0.06583802904769522,669.6791243333333,41683280.79027
4180.075427,63086.00451,3,650,0.06625994876995484,1045.01885675,41005902.9315
5398.953681,88723.91288,3,616,0.060851167466444915,1349.73842025,54653930.33408
2354.767751,67053.30205,6,729,0.03511784921805924,336.39539299999996,48881857.19445
3715.615067,74245.97957,6,521,0.05004466354231113,530.8021524285715,38682155.355969995
5161.165527,73029.07485,2,636,0.0706727496894934,1720.388509,46446491.604600005
3027.515204,55321.09302,3,656,0.05472623620886791,756.878801,36290637.02112
3745.443206,59637.62973,5,633,0.06280335457485656,624.2405343333334,37750619.61909
3433.700574,56256.7593,3,612,0.061036231319832955,858.4251435,34429136.6916
3324.328211,82044.31304,6,663,0.04051869151904208,474.90403014285715,54395379.54551999
3086.186142,54137.02325,5,654,0.05700694195340696,514.364357,35405613.2055
5129.105334,67340.38896,3,573,0.07616685043162592,1282.2763335,38586042.874079995
3067.12104,67229.75904,6,619,0.04562147899607255,438.1601485714286,41615220.84576
4922.21773,86808.69605,4,567,0.056701896859598075,984.4435460000001,49220530.66035
3121.760462,54878.71322,5,591,0.05688472412661128,520.2934103333333,32433319.513019998
3343.699605,55782.01161,3,481,0.05994225572784175,835.92490125,26831147.58441
2862.559188,54607.81635,5,650,0.052420319640698834,477.09319800000003,35495080.6275
3195.493489,47675.73526,5,685,0.06702557331326565,532.5822481666667,32657878.653100003
1135.931819,22350.15771,5,719,0.05082433125028609,189.32196983333333,16069763.39349
2037.196785,69296.12264,7,774,0.029398423856325042,254.649598125,53635198.92336
5060.519731,67919.31128,2,519,0.07450781869773833,1686.8399103333334,35250122.55432
4086.919816,68257.75631,3,564,0.05987480451860938,1021.729954,38497374.55884
3062.964065,91550.24254,4,657,0.033456646099307465,612.592813,60148509.348780006
5122.908631,76232.83668,3,599,0.06720081337701049,1280.72715775,45663469.17132
4110.193577,62740.67121,4,701,0.06551083209131146,822.0387154,43981210.51821
6734.984475,97668.03091,2,418,0.06895792217964603,2244.994825,40825236.920380004
3380.622889,75614.94765,5,688,0.04470839422653878,563.4371481666667,52023083.9832
6867.810491,94237.5182,3,706,0.07287766721903255,1716.95262275,66531687.8492
6146.982896,99595.49389,6,651,0.0617194880596448,878.1404137142857,64836666.52239
5182.578193,73563.55955,6,778,0.07045034558730172,740.3683132857143,57232449.329900004
6863.007842,88837.6485,4,585,0.07725337126548039,1372.6015684,51970024.372499995
3143.155646,57664.37675,6,744,0.05450775371374307,449.02223514285714,42902296.302
2336.711246,45959.47246,5,707,0.05084286483015817,389.4518743333333,32493347.029219996
3997.475735,68888.12348,3,707,0.05802851831350207,999.36893375,48703903.300359994
5743.390107,84223.80768,5,573,0.06819200253630481,957.2316845,48260241.80064
4102.923948,75361.72988,4,709,0.05444307016941789,820.5847895999999,53431466.48492
4278.415702,58272.12723,3,600,0.07342130629691411,1069.6039255,34963276.338
5971.632945,93407.14746,6,683,0.06393122054704987,853.0904207142858,63797081.715179995
3483.990456,57176.5927,2,678,0.06093385931930614,1161.330152,38765729.850600004
1968.24956,55836.52295,6,634,0.035250217169275753,281.17850857142855,35400355.5503
3804.922882,62445.3799,5,643,0.0609320159158655,634.1538136666667,40152379.2757
4064.552861,65348.4623,4,589,0.06219814082660981,812.9105722,38490244.2947
3563.564493,47965.77094,5,584,0.07429390632297644,593.9274154999999,28012010.22896
5164.704429,84380.66465,3,600,0.06120720250736723,1291.17610725,50628398.79000001
794.2919762,12648.49794,1,461,0.06279733608726056,397.1459881,5830957.55034
2800.316359,43040.16541,3,754,0.06506286238120053,700.07908975,32452284.71914
4066.61649,82726.57375,5,725,0.04915731796460195,677.769415,59976765.96875
2469.499498,70867.00145,5,730,0.034846959056218874,411.5832496666667,51732911.0585
2472.004604,51984.56253,7,719,0.047552667246663224,309.0005755,37376900.459070005
6903.79744,99344.78829,3,632,0.06949330265597276,1725.94936,62785906.19928
3219.442973,52268.27961,3,597,0.061594584649816174,804.86074325,31204162.927169997
6094.902746,78867.10718,2,579,0.07728066825136871,2031.6342486666665,45664055.057220004
3369.767591,53874.56161,3,698,0.06254839928594366,842.44189775,37604444.00378
4237.871403,73291.1634,2,690,0.05782240595381486,1412.623801,50570902.74600001
2758.106666,52803.52175,5,610,0.052233384716385264,459.6844443333334,32210148.2675
4459.144537,75825.28635,8,711,0.05880814635316168,495.4605041111111,53911778.594849996
7179.330435,106704.3437,3,584,0.067282457170792,1794.83260875,62315336.7208
2872.866931,46396.87583,3,590,0.06191940469147922,718.21673275,27374156.739699997
4281.64628,68063.92775,6,692,0.06290624742761916,611.6637542857143,47100238.003
3041.010511,57723.91637,2,585,0.05268198525295795,1013.6701703333333,33768491.07645
3389.461558,54989.22567,4,612,0.06163864860143904,677.8923116,33653406.11004
6799.7846,95096.37551,3,619,0.0715041405464865,1699.94615,58864656.440689996
3165.883223,70373.98777,6,712,0.04498655431182784,452.2690318571428,50106279.29224001
2510.481566,54161.14419,5,642,0.04635207773947229,418.4135943333333,34771454.56998
3048.093824,45634.97628,4,564,0.06679293104550305,609.6187648,25738126.62192
3311.524905,77575.55722,3,603,0.042687735978047966,827.88122625,46778061.00366
6840.974508,97405.88042,6,672,0.07023163774540593,977.2820725714286,65456751.64224
4083.108908,59354.66119,3,591,0.06879171451860845,1020.777227,35078604.76329
2934.361094,70177.45793,3,738,0.041813442386088244,733.5902735,51790963.95234
3011.054165,66427.91987,5,724,0.04532814170377954,501.8423608333333,48093813.985879995
4019.54333,68586.83098,3,598,0.05860517642393332,1004.8858325,41014924.92604
2499.08233,44795.63165,5,709,0.05578852753925195,416.5137216666667,31760102.83985
2681.677402,45400.1967,4,649,0.05906752826780004,536.3354803999999,29464727.6583
2379.377461,41150.82256,5,646,0.05782089671410396,396.56291016666665,26583431.37376
4223.141148,81255.90086,3,563,0.051973347206183775,1055.785287,45747072.18418
3352.188299,75927.7993,6,544,0.04414968338158921,478.8840427142857,41304722.8192
3318.220604,61353.62394,2,563,0.05408353070049992,1106.0735346666668,34542090.27822
3177.636482,64139.13277,5,650,0.04954286633942053,529.6060803333334,41690436.3005
7479.461413,83986.39207,4,661,0.08905563423509193,1495.8922826,55515005.15827
3838.979905,69364.65894,6,523,0.055344897006779054,548.4257007142858,36277716.62562
4588.995443,94149.6484,4,592,0.04874150377550702,917.7990886,55736591.852800004
2579.381496,37319.70823,6,698,0.06911580015669604,368.4830708571429,26049156.344539996
1345.827718,23448.32631,6,631,0.057395470369612255,192.26110257142858,14795893.90161
4179.925769,74419.00231,2,604,0.05616745238711913,1393.3085896666669,44949077.39524
5486.027852,77163.7419,4,647,0.07109592817619573,1097.2055704,49924941.00929999
7518.561103,87395.46337,3,637,0.08602919205409061,1879.64027575,55670910.16669
5833.528624,81900.27273,4,716,0.07122721853637927,1166.7057247999999,58640595.274679996
3430.188623,54490.02228,6,658,0.06295076565230301,490.0269461428571,35854434.66024
4111.858579,48639.31861,3,636,0.08453775045421966,1027.96464475,30934606.63596
3651.66093,56107.60769,4,650,0.06508316929338173,730.332186,36469944.9985
4959.599273,84614.30065,4,633,0.05861419683011214,991.9198546,53560852.311450005
3568.270893,68060.30299,6,624,0.05242807828040162,509.7529847142857,42469629.06576
6380.9341,100727.3454,2,597,0.06334857803109196,2126.9780333333333,60134225.2038
4978.717921,80492.73563,3,594,0.061853009243265894,1244.67948025,47812684.964219995
6074.616765,93160.69486,6,688,0.06520579064017937,867.8023949999999,64094558.06368
6719.431149,97446.55253,5,659,0.06895504227163289,1119.9051915,64217278.11727
4763.881173,79867.26864,3,589,0.05964747829819304,1190.97029325,47041821.22896
3624.428286,55604.50981,5,630,0.06518227205526043,604.071381,35030841.180300005
3721.736333,81467.93539,4,679,0.045683449754038465,744.3472666,55316728.12981
3685.115232,67055.67741,6,691,0.054956051065043504,526.4450331428571,46335473.09031
3995.546513,78189.13958,5,752,0.05110104209371451,665.9244188333333,58798232.96416
3634.526849,47004.58535,4,616,0.07732281482454725,726.9053698,28954824.575600002
5117.770945,91477.44977,2,679,0.05594571074960625,1705.9236483333334,62113188.39383
5731.233045,82856.09852,4,626,0.069170925825664,1146.246609,51867917.67352
3253.733033,62614.30641,5,732,0.05196469017228287,542.2888388333333,45833672.292119995
2608.798997,39682.19883,1,480,0.06574229941517223,1304.3994985,19047455.4384
6775.11242,84112.19698,3,526,0.08054851333309512,1693.778105,44243015.61148
4781.329847,67197.20356,4,711,0.07115370273793649,956.2659694,47777211.73115999
4791.479616,66725.45039,5,622,0.07180887634212628,798.579936,41503230.14258
4470.067333,67243.98637,1,686,0.06647534707918187,2235.0336665,46129374.64982
4298.926591,67177.27212,5,643,0.06399376538030237,716.4877651666667,43194985.97316
4190.038187,82577.0122,6,665,0.05074097591229221,598.5768838571429,54913713.113
3353.219834,52503.9492,7,775,0.06386604979299602,419.15247925,40690560.63
4767.023524,77795.5046,5,593,0.06127633657560625,794.5039206666667,46132734.2278
3398.20018,71626.82402,5,643,0.04744312241184524,566.3666966666666,46056047.84486
1931.179431,40142.23533,5,655,0.04810841785655715,321.8632385,26293164.14115
3448.308474,46537.38826,3,728,0.07409759341586872,862.0771185,33879218.65328
2264.648869,30248.31246,3,629,0.07486860207226025,566.16221725,19026188.53734
4477.721762,63190.6675,3,612,0.07086049157384101,1119.4304405,38672688.510000005
5518.435793,88240.48324,6,657,0.06253859442188456,788.3479704285713,57973997.48868
4914.024268,84470.58362,7,645,0.058174385180622075,614.2530335,54483526.4349
2479.270394,62124.61695,9,700,0.03990801900566233,247.9270394,43487231.865
2791.555095,77669.95978,5,600,0.03594124553265037,465.2591825,46601975.868
4406.064294,64818.58305,2,613,0.06797532569530651,1468.6880979999999,39733791.40965
1808.144725,34675.68015,4,691,0.052144463125919555,361.62894500000004,23960894.98365
3965.683415,74740.79451,6,708,0.053059155190226796,566.5262021428572,52916482.51308001
4382.509574,85105.78173,6,637,0.051494851288154724,626.0727962857143,54212382.96201
3129.578933,56593.67421,4,628,0.0552990944064153,625.9157865999999,35540827.40388
2855.617066,75850.18628,6,675,0.03764812198905983,407.9452951428571,51198875.73899999
5159.647857,93113.2295,3,680,0.05541261842866902,1289.91196425,63316996.06
5031.435329,73388.24472,3,607,0.06855914524360136,1257.85883225,44546664.545040004
1599.932207,26191.3807,2,697,0.06108621096630136,533.3107356666667,18255392.3479
3612.747893,60362.6438,3,718,0.059850723320043674,903.18697325,43340378.248399995
4264.805627,77053.92249,3,542,0.05534832606994323,1066.20140675,41763225.98958
2842.029989,62339.38677,8,611,0.04558963660390223,315.7811098888889,38089365.31647
3945.639511,58251.55973,3,571,0.06773448692568193,986.40987775,33261640.60583
4984.281285,74205.39695,3,574,0.06716871669443758,1246.07032125,42593897.8493
5849.35121,94681.71457,4,603,0.06177910102814714,1169.870242,57093073.88571
3719.211252,59494.52899,3,563,0.06251350023398995,929.802813,33495419.82137
5294.541149,71359.68985,4,659,0.07419512556816144,1058.9082297999998,47026035.61115
5444.325243,83329.24777,4,538,0.06533510608378153,1088.8650486000001,44831135.30026
